Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,DaysSinceEnrolled,YearsSinceEnrolled,Age,AgeGroup,MntTotal,MntRegularProds,Children,HasChildren,AcceptedCmpTotal,HasAcceptedCmp,NumTotalPurchases
Master,Partner,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,227,0,38,31-45,1053,1003,1,1,0,0,15
Graduation,Partner,60093.0,0,1,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,0,368,1,40,31-45,735,645,1,1,0,0,19
Graduation,Partner,14045.0,1,0,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0,154,0,45,31-45,20,19,1,1,0,0,4
2n Cycle,Single,28457.0,0,0,96,24,1,108,29,29,14,1,4,1,4,8,0,0,0,0,0,0,0,609,1,62,61+,205,191,0,0,0,0,9
PhD,Partner,78952.0,0,1,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,643,1,56,46-60,2092,1958,1,1,0,0,19
Graduation,Single,46310.0,1,0,99,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0,573,1,38,31-45,309,295,1,1,0,0,12
Graduation,Partner,76005.0,0,0,72,983,20,389,240,50,40,1,3,5,13,6,0,0,0,1,0,0,0,492,1,59,46-60,1722,1682,0,0,1,1,21
Master,Single,58308.0,0,1,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,0,533,1,50,46-60,900,770,1,1,0,0,11
PhD,Single,55614.0,0,0,85,504,13,131,8,0,26,1,9,4,6,7,0,1,0,0,0,0,0,214,0,70,61+,682,656,0,0,1,1,19
Master,Single,59432.0,0,1,88,317,25,265,25,19,12,3,5,3,11,5,0,0,0,0,0,0,0,442,1,52,46-60,663,651,1,1,0,0,19
Graduation,Single,55563.0,0,1,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,0,85,0,36,31-45,43,41,1,1,0,0,5
PhD,Partner,78642.0,0,1,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,0,434,1,43,31-45,1816,1799,1,1,0,0,17
PhD,Partner,67911.0,0,1,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0,38,0,65,61+,976,976,1,1,0,0,24
Graduation,Partner,65275.0,0,0,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,452,1,70,61+,746,725,0,0,0,0,20
Graduation,Partner,27203.0,1,1,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0,0,0,0,0,692,1,64,61+,64,40,2,1,0,0,4
Master,Partner,48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,226,0,53,46-60,32,32,1,1,0,0,4
Basic,Partner,24279.0,0,0,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,547,1,24,18-30,263,155,0,0,0,0,8
PhD,Partner,64355.0,1,0,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,0,674,1,29,18-30,1445,1292,1,1,0,0,19
Master,Partner,50943.0,0,1,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,373,1,58,46-60,46,40,1,1,0,0,4
Graduation,Single,53653.0,0,0,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,599,1,61,61+,1210,1102,0,0,0,0,26
Graduation,Partner,65665.0,0,1,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,0,209,0,38,31-45,945,916,1,1,0,0,23
Graduation,Single,81217.0,0,0,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0,345,0,25,18-30,1157,1073,0,0,0,0,21
Graduation,Partner,34935.0,0,0,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,0,373,1,22,18-30,137,117,0,0,0,0,7
Graduation,Single,61250.0,0,1,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,0,560,1,55,46-60,730,671,1,1,0,0,19
PhD,Partner,39665.0,1,0,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,0,400,1,33,31-45,216,185,1,1,1,1,9
Graduation,Single,60152.0,0,1,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,458,1,35,31-45,943,852,1,1,0,0,22
Graduation,Partner,48920.0,0,2,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,0,252,0,50,46-60,347,341,2,1,1,1,13
Master,Partner,89120.0,0,0,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,104,0,55,46-60,1924,1869,0,0,1,1,18
PhD,Partner,44124.0,0,1,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,414,1,68,61+,397,345,1,1,0,0,13
Master,Single,81169.0,0,0,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,441,1,39,31-45,2089,2062,0,0,0,0,21
Graduation,Partner,36443.0,1,1,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,511,1,53,46-60,138,118,2,1,0,0,7
Graduation,Single,26095.0,1,0,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,0,364,0,24,18-30,42,31,1,1,0,0,4
Graduation,Partner,71367.0,0,0,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,310,0,55,46-60,777,702,0,0,0,0,16
Master,Partner,80184.0,0,0,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,120,0,70,61+,1902,1902,0,0,2,1,19
Graduation,Single,30630.0,1,1,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,153,0,49,46-60,52,42,2,1,0,0,5
Master,Single,73454.0,0,0,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,0,120,0,27,18-30,1651,1476,0,0,1,1,12
Graduation,Partner,42691.0,0,0,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,0,317,0,23,18-30,358,300,0,0,0,0,12
Graduation,Partner,70503.0,0,0,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,0,637,1,61,61+,1727,1661,0,0,2,1,15
Graduation,Partner,25545.0,1,0,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,659,1,27,18-30,210,125,1,1,0,0,7
Graduation,Partner,32880.0,1,0,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,572,1,28,18-30,42,40,1,1,0,0,4
PhD,Partner,77863.0,0,0,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,214,0,56,46-60,1291,1279,0,0,0,0,19
Master,Partner,50353.0,0,0,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,21,0,37,31-45,442,407,0,0,0,0,14
Graduation,Single,61839.0,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,686,1,50,46-60,1895,1775,0,0,0,0,16
PhD,Partner,49154.0,1,1,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,238,0,54,46-60,411,340,2,1,0,0,13
2n Cycle,Single,47682.0,0,1,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,499,1,39,31-45,521,460,1,1,0,0,15
Graduation,Single,72679.0,0,1,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,284,0,45,31-45,1168,1114,1,1,0,0,16
Master,Partner,57954.0,1,1,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,11,0,37,31-45,493,484,2,1,1,1,16
Graduation,Partner,65316.0,1,1,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,431,1,52,46-60,260,222,2,1,0,0,10
Graduation,Single,28567.0,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,377,1,32,31-45,46,40,1,1,0,0,5
Master,Partner,47352.0,0,1,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,444,1,63,61+,319,304,1,1,0,0,12
Graduation,Partner,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,162,0,47,46-60,96,89,1,1,0,0,6
Graduation,Single,76982.0,0,0,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,134,0,47,46-60,1062,1032,0,0,1,1,15
2n Cycle,Partner,57247.0,0,1,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,325,0,62,61+,232,226,1,1,0,0,10
Master,Single,22944.0,1,0,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,188,0,33,31-45,76,50,1,1,0,0,6
2n Cycle,Partner,25315.0,1,0,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,234,0,37,31-45,54,32,1,1,0,0,6
Graduation,Single,43638.0,0,1,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,692,1,45,31-45,201,182,1,1,0,0,9
PhD,Single,42710.0,1,0,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,578,1,30,18-30,406,304,1,1,0,0,12
PhD,Partner,84169.0,0,0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,326,0,32,31-45,1919,1919,0,0,2,1,19
Graduation,Partner,54058.0,0,1,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,390,1,38,31-45,662,608,1,1,0,0,18
2n Cycle,Partner,24683.0,1,0,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,113,0,24,18-30,41,35,1,1,0,0,6
Graduation,Single,85620.0,0,0,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,173,0,50,46-60,1600,1554,0,0,0,0,13
Graduation,Partner,47850.0,1,0,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,208,0,34,31-45,134,124,1,1,0,0,7
Graduation,Partner,19514.0,1,1,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,154,0,46,46-60,69,41,2,1,1,1,6
Master,Partner,27159.0,1,1,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,92,0,41,31-45,21,20,2,1,0,0,4
2n Cycle,Single,39548.0,1,1,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,90,0,51,46-60,54,36,2,1,0,0,5
Graduation,Single,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,82,0,25,18-30,91,57,1,1,1,1,6
PhD,Single,60504.0,0,1,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,142,0,43,31-45,526,492,1,1,0,0,16
Graduation,Partner,22419.0,0,0,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,437,1,51,46-60,162,120,0,0,0,0,7
Master,Partner,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,235,0,65,61+,1008,961,0,0,0,0,24
Graduation,Partner,43462.0,1,1,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,655,1,62,61+,240,225,2,1,0,0,10
PhD,Single,54880.0,1,0,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,485,1,36,31-45,795,677,1,1,0,0,19
Graduation,Partner,79908.0,0,0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,450,1,32,31-45,1772,1661,0,0,1,1,18
2n Cycle,Partner,15315.0,0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,330,0,44,31-45,64,47,0,0,0,0,6
Graduation,Partner,87771.0,0,1,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,403,1,55,46-60,1957,1924,1,1,4,1,19
Graduation,Partner,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,293,0,36,31-45,78,66,1,1,0,0,6
Graduation,Single,81741.0,0,0,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,378,1,34,31-45,1572,1534,0,0,0,0,19
Master,Partner,71499.0,0,1,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,369,1,43,31-45,795,758,1,1,0,0,24
2n Cycle,Partner,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,165,0,44,31-45,889,806,1,1,0,0,21
PhD,Single,48799.0,0,1,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,236,0,51,46-60,331,307,1,1,0,0,12
PhD,Partner,52157.0,0,1,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,22,0,64,61+,265,225,1,1,0,0,10
Graduation,Single,66565.0,0,1,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,571,1,52,46-60,1065,1023,1,1,0,0,15
Master,Partner,29298.0,1,1,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,295,0,63,61+,11,10,2,1,0,0,3
Graduation,Single,47691.0,0,1,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,359,0,35,31-45,21,17,1,1,0,0,3
Graduation,Partner,38200.0,1,1,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,569,1,44,31-45,17,16,2,1,0,0,3
Graduation,Partner,44989.0,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,655,1,40,31-45,369,263,1,1,0,0,11
PhD,Partner,38443.0,1,1,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,153,0,46,46-60,38,37,2,1,0,0,4
2n Cycle,Single,38593.0,1,0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,289,0,36,31-45,177,153,1,1,0,0,8
PhD,Partner,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,332,0,44,31-45,279,259,1,1,0,0,11
Master,Partner,36959.0,1,0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,270,0,33,31-45,62,62,1,1,0,0,5
PhD,Partner,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,514,1,37,31-45,1230,1206,1,1,3,1,18
Graduation,Partner,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,89,0,46,46-60,182,152,2,1,0,0,8
Graduation,Partner,13260.0,1,1,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,310,0,44,31-45,49,42,2,1,0,0,6
PhD,Partner,47472.0,1,1,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,286,0,48,46-60,75,67,2,1,0,0,6
Master,Partner,54603.0,1,1,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,355,0,58,46-60,227,223,2,1,0,0,10
PhD,Partner,45207.0,1,1,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,596,1,40,31-45,215,213,2,1,1,1,10
Graduation,Partner,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,468,1,63,61+,444,345,1,1,0,0,13
2n Cycle,Partner,47821.0,1,1,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,252,0,47,46-60,47,37,2,1,0,0,4
Master,Partner,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,440,1,63,61+,143,91,0,0,0,0,6
Graduation,Partner,39453.0,1,0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,87,0,31,31-45,55,53,1,1,0,0,5
2n Cycle,Partner,26850.0,1,1,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,72,0,43,31-45,63,54,2,1,0,0,7
Graduation,Single,79800.0,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,644,1,59,46-60,1867,1643,0,0,3,1,21
Master,Partner,61794.0,0,1,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,288,0,53,46-60,611,600,1,1,0,0,18
Graduation,Partner,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,43,0,59,46-60,473,443,1,1,1,1,15
Graduation,Partner,24221.0,0,0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,313,0,55,46-60,55,33,0,0,0,0,5
PhD,Single,39684.0,1,0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,625,1,30,18-30,81,64,1,1,0,0,5
Master,Partner,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,564,1,39,31-45,2086,2066,0,0,2,1,21
Master,Single,69882.0,0,0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,231,0,49,46-60,1478,1313,0,0,0,0,19
Graduation,Partner,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,150,0,37,31-45,49,33,1,1,0,0,4
PhD,Partner,59973.0,0,0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,291,0,42,31-45,382,382,0,0,0,0,14
Master,Partner,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,283,0,39,31-45,69,39,1,1,0,0,6
Graduation,Single,23910.0,1,0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,611,1,45,31-45,67,54,1,1,0,0,5
Master,Partner,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,253,0,45,31-45,30,28,2,1,0,0,4
2n Cycle,Partner,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,390,1,36,31-45,63,48,1,1,0,0,6
Graduation,Partner,31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,681,1,33,31-45,79,75,1,1,0,0,7
Graduation,Single,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,493,1,53,46-60,42,38,1,1,0,0,4
Graduation,Partner,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,667,1,54,46-60,819,720,1,1,0,0,20
Graduation,Single,72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,285,0,59,46-60,1151,1097,0,0,0,0,16
PhD,Partner,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,567,1,66,61+,594,545,2,1,0,0,17
Master,Partner,49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,519,1,48,46-60,129,115,2,1,0,0,7
Master,Single,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,547,1,28,18-30,213,149,1,1,0,0,8
Graduation,Single,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,138,0,41,31-45,67,63,1,1,0,0,5
Graduation,Single,26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,475,1,58,46-60,28,27,3,1,0,0,4
Basic,Partner,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,611,1,39,31-45,45,34,1,1,0,0,4
Graduation,Partner,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,53,0,49,46-60,1193,1171,0,0,1,1,17
Master,Single,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,314,0,45,31-45,268,228,0,0,0,0,10
Master,Single,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,346,0,70,61+,266,256,0,0,0,0,11
Basic,Partner,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,565,1,41,31-45,37,22,1,1,0,0,4
Graduation,Partner,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,244,0,47,46-60,37,35,3,1,0,0,5
PhD,Single,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,597,1,45,31-45,882,841,0,0,0,0,22
Graduation,Partner,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,338,0,40,31-45,373,349,2,1,0,0,13
Master,Single,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,419,1,49,46-60,35,32,3,1,0,0,4
Graduation,Single,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,468,1,36,31-45,42,32,2,1,0,0,4
Master,Partner,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,681,1,54,46-60,326,300,1,1,0,0,12
PhD,Partner,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,353,0,53,46-60,404,389,1,1,0,0,14
Graduation,Single,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,350,0,43,31-45,95,63,0,0,0,0,5
Graduation,Single,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,111,0,65,61+,939,904,0,0,2,1,13
2n Cycle,Single,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,183,0,36,31-45,33,31,1,1,0,0,4
2n Cycle,Partner,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,391,1,59,46-60,981,874,0,0,1,1,20
Graduation,Partner,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,525,1,38,31-45,36,30,1,1,0,0,5
Graduation,Single,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,391,1,39,31-45,1237,1047,1,1,0,0,19
Graduation,Partner,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,646,1,54,46-60,1825,1808,1,1,0,0,27
PhD,Single,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,661,1,37,31-45,103,95,2,1,0,0,6
Graduation,Single,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,558,1,37,31-45,191,188,1,1,0,0,9
PhD,Partner,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,222,0,44,31-45,1586,1556,1,1,0,0,23
PhD,Partner,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,16,0,56,46-60,963,909,0,0,0,0,13
2n Cycle,Partner,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,165,0,44,31-45,889,806,1,1,0,0,21
2n Cycle,Single,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,134,0,54,46-60,93,63,0,0,1,1,6
Graduation,Single,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,437,1,41,31-45,1587,1508,0,0,0,0,20
Graduation,Single,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,111,0,52,46-60,16,15,3,1,0,0,3
Graduation,Single,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,390,1,62,61+,1375,1212,0,0,0,0,31
Graduation,Partner,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,537,1,52,46-60,393,345,1,1,0,0,13
Master,Single,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,639,1,64,61+,1477,1408,1,1,0,0,21
Graduation,Partner,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,235,0,43,31-45,1179,1106,1,1,1,1,16
Graduation,Partner,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,632,1,54,46-60,1005,846,1,1,0,0,22
PhD,Partner,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,47,0,66,61+,1348,1322,0,0,0,0,20
PhD,Single,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,546,1,55,46-60,1307,1282,1,1,0,0,19
Graduation,Single,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,418,1,50,46-60,486,342,1,1,1,1,13
Master,Partner,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,476,1,67,61+,2252,2105,0,0,2,1,12
PhD,Partner,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,315,0,43,31-45,235,224,2,1,0,0,10
Graduation,Partner,105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,524,1,44,31-45,1724,1517,0,0,2,1,30
Master,Single,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,198,0,44,31-45,235,216,1,1,0,0,10
Master,Partner,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,37,0,37,31-45,1092,1042,1,1,0,0,25
Graduation,Partner,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,286,0,56,46-60,599,453,1,1,0,0,15
Master,Single,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,132,0,54,46-60,2008,1970,0,0,1,1,19
Graduation,Partner,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,671,1,29,18-30,48,42,1,1,0,0,4
Graduation,Partner,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,686,1,40,31-45,1174,1163,1,1,0,0,27
PhD,Partner,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,77,0,64,61+,67,58,1,1,0,0,6
Graduation,Single,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,695,1,59,46-60,365,348,1,1,0,0,13
Graduation,Partner,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,176,0,61,61+,165,150,1,1,0,0,8
2n Cycle,Partner,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,645,1,56,46-60,210,185,0,0,0,0,9
PhD,Partner,73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,302,0,67,61+,1095,1024,1,1,0,0,25
PhD,Single,46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,251,0,48,46-60,223,147,3,1,1,1,8
